ID,Espnurse,target,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
138,favelinha,cating,35,54,1,5,35,54,1,5,33,53,2,9,35,53,3,8,34,53,1,6,35,52,1,1,34,53,2,0,36,52,1,0,35,43,1,0
138,favelinha,aroeira,27,30,9,8,27,30,9,8,24,29,3,6,26,31,1,4,29,31,1,1,26,29,1,1,25,31,0,0,26,32,0,0,25,30,0,0
124,favelinha,angico,27,16,6,6,37,31,2,3,30,15,4,4,28,-1,4,-1,20,-1,0,-1,32,-1,0,-1,32,-1,0,-1,32,-1,0,-1,16,-1,0,-1
124,favelinha,cating,20,23,4,1,31,27,3,2,29,23,2,1,19,22,2,1,20,22,1,1,20,23,1,1,20,23,0,1,20,22,0,1,18,23,0,0
124,favelinha,aroeira,30,26,10,13,40,28,10,4,28,25,5,8,30,27,2,8,28,26.5,0,2,28,27,0,2,28.5,27,0,2,30,27,0,2,29,26,0,0
153,favelinha,angico,37,20,9,12,40,22,8,11,27,19,8,8,40,22,8,7,40,23,0,3,40,22,0,2,39,22,0,0,41,22,0,0,39,22,0,0
153,favelinha,cating,30,23,1,3,30,22,1,3,29,21,1,3,29,22,1,3,29,21,1,1,29,24,1,1,30,22,1,1,30,-1,0,-1,30,-1,1,-1
153,favelinha,aroeira,40,30,7,9,39,32,8,9,38,28,8,8,38,29,2,2,37,29,1,0,38,30,0,0,37.5,30,0,0,30,31,2,0,-1,30,-1,0
154,favelinha,angico,38,30,2,4,37,31,2,3,36,30,9,3,36,32,8,3,36,32,11,1,36,32,8,1,36,30,0,0,-1,30,-1,0,-1,-1,-1,-1
154,favelinha,cating,32,29,3,3,31,27,3,2,30,29,2,0,32,29,2,0,30,28,2,0,31,29,1,0,30,29,1,0,31,29,1,0,33,29,0,0
154,favelinha,aroeira,34,28,9,11,40,28,10,4,40,31,9,10,40,28,6,2,41,27,1,0,40,27,0,0,41,27,0,0,40,27,0,0,40,31,0,0
155,favelinha,angico,13,26,3,6,14,22,3,6,13,23,3,4,13,24,3,4,13,-1,1,-1,1,-1,1,-1,13,-1,0,-1,13,-1,0,-1,-1,-1,-1,-1
155,favelinha,cating,21,15,6,2,21,20,6,2,21,20,6,2,26,19,6,9,22,19,6,0,22,19,5,0,22,19,1,0,23,19,0,0,22,19,0,0
155,favelinha,aroeira,38,30,10,11,34,32,10,10,32,31,9,10,33,31,3,2,32,32,2,0,31,32,0,0,32,32,0,0,33,32,0,0,31,32,0,0
24,feijao,angico,27,38,22,18,28,38,21,10,27,35,17,1,28,-1,7,-1,28,-1,0,-1,28,-1,0,-1,27,-1,0,-1,25,-1,0,-1,-1,-1,-1,-1
24,feijao,cating,30,19,3,2,30,19,3,3,29,19,2,3,29,15,2,3,30,19,2,0,29,19,0,0,29,20,20,0,30,19,0,0,29,17,0,0
24,feijao,aroeira,42,41,8,11,42,40,8,11,40,41,9,41,40,40,8,10,41,-1,2,-1,40,-1,2,-1,41,-1,3,-1,40,-1,3,-1,40,-1,2,-1
67,feijao,angico,29,31,3,2,28,32,3,2,28,32,0,0,-1,33,-1,0,-1,33,-1,0,-1,32,-1,0,-1,32,-1,0,-1,32,-1,0,-1,32,-1,0
67,feijao,cating,35,20,13,2,33,19,16,1,30,19,1,0,34,21,0,0,32,19,0,0,34,19,0,0,34,19,0,0,34,19,0,0,33,19,0,0
67,feijao,aroeira,31,30,11,9,29,29,11,9,29,34,4,0,29,33.5,2,1,30,33,2,1,30,33,0,0,30,33.5,1,1,31,23,0,0,31,33,0,0
75,feijao,angico,34,25,6,8,33,23,4,6,32,23,5,3,31,24,4,0,30,23,7,1,32,25,4,0,32,25,1,0,33,24,1,0,-1,-1,-1,-1
75,feijao,cating,30,29,3,4,28,26,3,3,29,27,3,0,28,28,3,0,28,28,3,0,29,27,3,0,29,28,0,0,28,28,0,0,29,-1,0,-1
75,feijao,aroeira,44,44,10,9,44,44,9,9,40,44,0,4,43,43,0,2,42,44,0,1,44,43,0,2,43,44,0,1,42,43,0,1,42,45,0,0
80,feijao,angico,19,41,3,6,19,39,2,6,20,38,3,5,19,40,1,6,20,-1,1,-1,19,-1,1,-1,19,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,feijao,cating,28,20,2,2,28,20,3,2,27,19,2,2,27,20,2,2,28,20,2,2,27,21,1,0,27,20,0,0,-1,21,-1,0,-1,-1,-1,-1
80,feijao,aroeira,29,22,6,7,27,23,5,6,26,21,5,0,28,22,0,0,-1,21,-1,0,-1,22,-1,0,-1,22,-1,0,-1,22,-1,0,-1,20,-1,0
134,feijao,angico,30,33,3,8,27,31,3,6,27,31,3,5,27,30,3,4,29,33,0,0,30,32,0,0,30,32,0,0,28,32,0,0,28,-1,0,-1
134,feijao,cating,28,15,2,2,30,13,2,2,30,13,1,2,30,14,0,0,30,14,0,0,30,14,0,0,31,15,0,0,30,14,0,0,30,13,0,0
134,feijao,aroeira,28,31,11,9,31,30,11,9,32,29,12,7,32,29,2,5,37,30,5,0,33,30,2,0,37,30,1,0,34,31,1,0,37,30,0,0
27,imbiratanha,angico,35,27,8,9,34,27,5,8,35,28,5,2,35,29,3,0,36,29,0,0,35,29,0,0,36,29,0,0,35,26,0,0,35,29,0,0
27,imbiratanha,cating,29,25,2,5,27,27,2,3,29,26,1,2,28,27,0,2,27,24,0,2,28,24,0,2,28,25,0,0,28,27,0,0,29,26,0,0
27,imbiratanha,aroeira,35,32,10,9,30,31,10,9,33,32,9,8,33,33,3,4,33,32,3,2,34,33,2,2,33,33,1,2,34,33,1,1,34,32,0,1
150,imbiratanha,angico,27,24,6,4,28,23,4,4,26,23,2,3,26,23,2,3,26,32,2,3,27,23,2,0,27,24,2,0,27,23,0,0,26,23,0,0
150,imbiratanha,cating,28,26,4,2,22,28,2,3,25,28,2,3,20,28,0,2,21,29,0,0,23,29,0,0,22,29,0,0,22,30,0,0,22,29,0,0
